Situation,emotion,empathetic_dialogues,baseline_prediction,baseline_raw_output,theory_prediction,theory_raw_output,theory_estimated_vec,theory_true_vad_error,baseline_correct,theory_correct,true_macro_3d,baseline_macro_3d,theory_macro_3d,baseline_vad_error,theory_vad_error
"When I was younger, I went on a trip to my cousins ski home in New York. I am from Florida and didn't know any better and stuck my tongue to a frozen pole when one of my cousins dared me to. I dont recommend it.",afraid,"Customer :Haha well fortunately my cousin was like ""Oh [BLEEP] I didnt think you were actually going to do it. [BLEEP]"" He was like, dont move not even a millicentimeter, Ill be right back!! And came back with a warm sponge and warm water! 
Agent :",sad,sad,afraid,"REASONING: During the event, the speaker was physically stuck to a frozen pole, causing sudden pain and helplessness rather than anger or sadness. This is an immediate, uncomfortable threat with low control, fitting high-arousal distress and vulnerability.
VAD_Estimate: [V: -0.70, A: +0.65, D: -0.50]
EMOTION: afraid",[-0.7   0.65 -0.5 ],0.10488088481701516,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
i hate when my friend speeds down the interstate for no reason whatsoever,afraid,"Customer :i keep warning him but he does not listen
Agent :",angry,angry,angry,"REASONING: The explicit word “hate” signals strong displeasure and irritation directed at the friend’s reckless behavior, with active frustration rather than fear or sadness. This matches high negative valence, elevated arousal, and assertive frustration/anger.
VAD_Estimate: [V: -0.60, A: +0.60, D: +0.30]
EMOTION: angry",[-0.6  0.6  0.3],0.7310950690573695,False,False,Negative_High_Submissive,Negative_High_Moderate,Negative_High_Moderate,0.6923871749245504,0.6923871749245504
birth of my first child,afraid,"Customer :i was a nervous wreck when my son was born!
Agent :",joyful,joyful,joyful,"REASONING: The birth of a first child is a profoundly positive, life-changing event, producing intense happiness, excitement, and a strong sense of empowerment and connection.
VAD_Estimate: [V: +0.85, A: +0.70, D: +0.45]
EMOTION: joyful",[0.85 0.7  0.45],1.7333493589002766,False,False,Negative_High_Submissive,Positive_High_Dominant,Positive_High_Dominant,1.607109205996904,1.607109205996904
"I used to be afraid of the dark but now I am not so much, I had a nightlight for a long time",afraid,"Customer :I suppose so, it is the fact that we do not know what is in it
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly describes a past state of being afraid of the dark, and temporal anchoring requires judging the emotion felt during that past experience rather than the current relief. That experience involved high displeasure, high arousal, and low control/vulnerability.

VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
The other day I found an iguana in my backyard. I hate iguanas!,afraid,"Customer :Oh no! I think they're cute but I'd probably be freaked out if I saw one in my yard, too. What did you do?
Agent :",angry,angry,angry,"REASONING: The explicit word “hate” signals active irritation and dislike rather than fear or sadness. This creates negative valence, moderately high arousal, and assertive control toward the iguana.
VAD_Estimate: [V: -0.65, A: +0.55, D: +0.30]
EMOTION: angry",[-0.65  0.55  0.3 ],0.7317786550590281,False,False,Negative_High_Submissive,Negative_High_Moderate,Negative_High_Moderate,0.6923871749245504,0.6923871749245504
Riding coasters this weekend,afraid,"Customer :Why? What happened?
Agent :",joyful,joyful,afraid,"REASONING: The situation mentions an inherently intimidating activity—roller coasters—without any positive words like “excited” or “love,” so the dominant feeling is anxiety/dread rather than thrill. This points to high displeasure, high arousal, and low control, consistent with fear.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
I was so scared but I went skydiving! It was a great experience and I'm so glad I was able to overcome my fears.,afraid,"Customer :I'm deathly afraid of heights! I'm so glad I was able to overcome my fear because it was a great experience!
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly states they were scared during the skydiving event, so that is the emotion experienced at the time, even though they later felt proud/positive about overcoming it. During the event, this was high displeasure, high arousal, and low control/vulnerability, matching fear.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.65  0.6  -0.45],0.022360679774997918,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
I don't think I' going to like this semester. I didnt get any of the classes I want,afraid,"Customer :Oh dang! Did you file for classes late?
Agent :",sad,sad,sad,"REASONING: Not getting desired classes is a disappointing, uncontrollable outcome that triggers resignation and low-energy displeasure rather than active frustration or fear.
VAD_Estimate: [V: -0.55, A: -0.25, D: -0.35]
EMOTION: sad",[-0.55 -0.25 -0.35],0.85848704125339,False,False,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_Moderate_Submissive,0.8757853618324527,0.8757853618324527
"When I was younger I was scared of almost any new experience...but since I've been mugged, kicked out of the house, lived homeless, been beaten up, won some street fights and become fully self-employed there's really nothing that scares me anymore",afraid,"Customer :As a sheltered teenager I used to be scared of almost any new experience...but since I've been mugged, kicked out of the house, lived homeless, been beaten up, won some street fights, sparred state champions in the ring and become fully self-employed there's really nothing that scares me anymore
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly describes their past self as “scared,” which anchors the emotion to fear despite later reflecting on becoming fearless. During that described younger period, the experience was unpleasant, activating, and marked by vulnerability/helplessness.

VAD_Estimate: [V: -0.64, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.64  0.6  -0.45],0.020000000000000018,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
Roller coasters next weekend,afraid,"Customer :Remember safety is the first priority of amusement parks, everything will be just fine!
Agent :",joyful,joyful,afraid,"REASONING: The statement about roller coasters next weekend lacks positive words like ""excited"" or ""love,"" and focuses on an inherently intimidating upcoming event, suggesting anxiety/dread rather than joy. This points to negative valence, high arousal, and low control.
VAD_Estimate: [V: -0.60, A: +0.60, D: -0.40]
EMOTION: afraid",[-0.6  0.6 -0.4],0.05000000000000002,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
i cant wait for monday!,afraid,"Customer :i cant wait for monday!
Agent :",joyful,joyful,joyful,"REASONING: The speaker expresses eager anticipation and excitement about Monday, indicating positive feelings and heightened arousal.
VAD_Estimate: [V: +0.70, A: +0.55, D: +0.30]
EMOTION: joyful",[0.7  0.55 0.3 ],1.5267612779999364,False,False,Negative_High_Submissive,Positive_High_Dominant,Positive_High_Dominant,1.607109205996904,1.607109205996904
I invested in cryptocurrency last year but the market is looking pretty bad.,afraid,"Customer :Oh that's awful! I invested 6,000 in January and I'm down to $150 now. I sold off a lot to pay bills but if I wait for it to go back up I can maybe recover 1,500. 
Agent :",sad,sad,sad,"REASONING: The situation involves a disappointing financial outcome with no clear target for blame, leading to resignation and concern rather than active anger or panic. This is mildly negative in mood with low energy and a sense of diminished control, fitting dejection/disappointment.
VAD_Estimate: [V: -0.55, A: -0.25, D: -0.35]
EMOTION: sad",[-0.55 -0.25 -0.35],0.85848704125339,False,False,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_Moderate_Submissive,0.8757853618324527,0.8757853618324527
I'm going to be across the ocean from my girlfriend for school.,afraid,"Customer :No. We're both kind of sad actually.
Agent :",sad,sad,sad,"REASONING: Being separated from a loved one by a great distance suggests sadness, longing, and a sense of helplessness about the situation, with low energy and low control.
VAD_Estimate: [V: -0.60, A: -0.30, D: -0.35]
EMOTION: sad",[-0.6  -0.3  -0.35],0.9044335243676009,False,False,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_Moderate_Submissive,0.8757853618324527,0.8757853618324527
"I finally got over my fear of heights! But before that, I had never been so scared in my life. I went sky-diving.",afraid,"Customer :I was so scared! I almost fainted twice, and I was so pale and rigid! Looking back it was kind of funny. But I am glad I overcame the fear.
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly says they were “scared” during the sky-diving event, and the temporal focus is on the past fear experienced at that moment, not the later relief of overcoming it. This matches high displeasure, high arousal, and low control/vulnerability.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
I lost the money pouch for the deposit at my job the other day.,afraid,"Customer :Oh no! That is one of my biggest fears!  What did you do?
Agent :",sad,sad,afraid,"REASONING: Losing an important money pouch at work is a negative, high-stakes event that triggers worry and anxiety about consequences; the speaker feels vulnerable and out of control, not energized toward confrontation.  
VAD_Estimate: [V: -0.55, A: +0.55, D: -0.35]  
EMOTION: afraid",[-0.55  0.55 -0.35],0.13038404810405294,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
when my hit her head,afraid,"Customer :Oh no! Is he/she okay? 
Agent :",sad,sad,afraid,"REASONING: The situation describes someone hitting her head, a sudden and potentially harmful event. The speaker likely feels alarmed and helpless, with negative valence, high arousal, and low control → fear.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.65  0.6  -0.45],0.022360679774997918,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
When my house burned down in the 8th grade,afraid,"Customer :I can't imagine my house on fire. That's I got home insurance!
Agent :",sad,sad,afraid,"REASONING: During the house fire, the event was sudden, dangerous, and uncontrollable, creating intense distress and a need to escape rather than a reflective sadness or anger. This maps to strongly negative valence, high arousal, and low dominance/control.
VAD_Estimate: [V: -0.75, A: +0.70, D: -0.45]
EMOTION: afraid",[-0.75  0.7  -0.45],0.15,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
I am cooking dinner for my boyfriend tomorrow for the first time,afraid,"Customer :That's nice of you. Is it a special occasion?
Agent :",joyful,joyful,joyful,"REASONING: The situation is a self-chosen, affectionate plan with no explicit negative emotion word or threat mentioned. Cooking for a boyfriend suggests pleasant anticipation, moderate excitement, and a sense of control over the event, aligning closest with joy.
VAD_Estimate: [V: +0.70, A: +0.50, D: +0.35]
EMOTION: joyful",[0.7  0.5  0.35],1.5537052487521563,False,False,Negative_High_Submissive,Positive_High_Dominant,Positive_High_Dominant,1.607109205996904,1.607109205996904
I would like to try skydiving.,afraid,"Customer :I need to work on fear first and then I will try it.
Agent :",joyful,joyful,joyful,"REASONING: The speaker expresses interest and excitement about a thrilling future activity, indicating positive anticipation and high energy rather than fear or sadness.
VAD_Estimate: [V: +0.60, A: +0.60, D: +0.40]
EMOTION: joyful",[0.6 0.6 0.4],1.4921461054467824,False,False,Negative_High_Submissive,Positive_High_Dominant,Positive_High_Dominant,1.607109205996904,1.607109205996904
My friend hasnt been feeling well lately.,afraid,"Customer :That's too bad. What seems to be wrong with him?
Agent :",sad,sad,afraid,"REASONING: The friend being unwell is a negative situation with uncertainty about their health, creating worry and concern rather than anger or joy. The speaker has little control over the outcome, with moderate tension and low dominance.
VAD_Estimate: [V: -0.55, A: +0.30, D: -0.35]
EMOTION: afraid",[-0.55  0.3  -0.35],0.3232645975048923,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
When my house burned down in the 8th grade,afraid,"Customer :It really hurts to think about it happening, my house burning.
Agent :",sad,sad,afraid,"REASONING: The event involves an uncontrollable, life-threatening disaster; during the fire, the speaker would likely feel intense fear and helplessness rather than anger or passive sadness.
VAD_Estimate: [V: -0.70, A: +0.65, D: -0.45]
EMOTION: afraid",[-0.7   0.65 -0.45],0.08062257748298549,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
When my house burned down in the 8th grade,afraid,"Customer :I hope you didn't lose too much.
Agent :",sad,sad,afraid,"REASONING: A house fire is an uncontrollable, life-threatening event that would trigger immediate fear and helplessness rather than anger or joy. High negative valence, high arousal, and low dominance align most closely with the afraid prototype.
VAD_Estimate: [V: -0.70, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.7   0.6  -0.45],0.06324555320336754,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
Roller coasters next weekend,afraid,"Customer :What's wrong?
Agent :",joyful,joyful,afraid,"REASONING: The situation references an upcoming roller coaster activity with no positive emotion words like “excited” or “love,” so the dominant response is anxiety/dread about an intimidating event. This aligns with high displeasure, high arousal, and low control/vulnerability.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
when my mother in law fell on ice,afraid,"Customer :Shes older so thats was it was so scary. She did end up injuring her hip. 
Agent :",joyful,joyful,afraid,"REASONING: A sudden fall on ice is an unexpected, potentially harmful event involving a loved one, triggering alarm, worry, and a sense of helplessness rather than anger or joy. This maps to negative valence, high arousal, and low dominance.
VAD_Estimate: [V: -0.65, A: +0.55, D: -0.35]
EMOTION: afraid",[-0.65  0.55 -0.35],0.09486832980505137,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
Riding coasters this weekend,afraid,"Customer :Good luck!
Agent :",joyful,joyful,afraid,"REASONING: The situation mentions riding coasters without any positive emotion words like ""excited"" or ""love."" Per Rule 5, this inherently risky/thrilling activity without positive framing suggests anxiety or dread, with high arousal and low perceived control.
VAD_Estimate: [V: -0.60, A: +0.55, D: -0.40]
EMOTION: afraid",[-0.6   0.55 -0.4 ],0.07071067811865471,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
My friend got into accident last month. His leg might  be removed!!,afraid,"Customer :No he is not!! i am afraid his leg might be removed
Agent :",sad,sad,sad,"REASONING: This is tragic, shocking news about a friend’s possible amputation, evoking helpless grief and deep concern rather than anger or personal fear. Valence is strongly negative, arousal is elevated due to the alarming exclamation, and dominance is low because the speaker cannot control the outcome.  
VAD_Estimate: [V: -0.80, A: +0.50, D: -0.45]  
EMOTION: sad",[-0.8   0.5  -0.45],0.18973665961010278,False,False,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_Moderate_Submissive,0.8757853618324527,0.8757853618324527
when my hit her head,afraid,"Customer :My child hit their head really hard the other day, and caused the lip to split open. ugh 
Agent :",sad,sad,afraid,"REASONING: Witnessing someone hit her head is a sudden, potentially harmful event that triggers alarm and worry, with negative valence, high arousal, and a sense of helplessness over the outcome. This matches fear more than anger or sadness.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.40]
EMOTION: afraid",[-0.65  0.6  -0.4 ],0.03162277660168377,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
When my house burned down in junior high. I had to rescue my parents.,afraid,"Customer :It was a combustion of paint cans in my garage.
Agent :",sad,sad,afraid,"REASONING: The house fire is a sudden, life-threatening emergency, and having to rescue parents would involve intense fear and adrenaline rather than anger or enjoyment. Negative valence with high arousal and a sense of vulnerability despite taking action points most closely to fear.
VAD_Estimate: [V: -0.70, A: +0.65, D: -0.35]
EMOTION: afraid",[-0.7   0.65 -0.35],0.11180339887498948,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
I was at a scary maze and one of the people there actually scared me! It was super funny afterwords,afraid,"Customer :I was at a scary maze and one of the people there actually scared me! It was super funny afterwords
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly says they were “scared” during the event in the scary maze, which indicates fear at that moment; the “funny afterwards” is a later reflection and does not override the in-the-moment emotion. This aligns with high displeasure, high arousal, and low dominance/vulnerability.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
When I lost my job.,afraid,"Customer :I feel your pain, that happened to me a few years ago, I ended up having to settle on a job I didn't like just to make ends meet.
Agent :",sad,sad,sad,"REASONING: Losing a job is a significant loss associated with feelings of dejection, helplessness, and low energy rather than active anger or panic. The event is unpleasant, passively experienced, and reduces one’s sense of control.
VAD_Estimate: [V: -0.65, A: -0.30, D: -0.40]
EMOTION: sad",[-0.65 -0.3  -0.4 ],0.9005553841935541,False,False,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_Moderate_Submissive,0.8757853618324527,0.8757853618324527
Roller coaster riding next week,afraid,"Customer :We're going to the amusement park!  I've never rode a coaster before!  Kinda scary~!
Agent :",joyful,joyful,afraid,"REASONING: The situation references an upcoming roller coaster ride with no positive excitement cues, so per the anticipation rule it reflects anxiety/dread rather than joy. This yields negative valence, high arousal, and low dominance/vulnerability.

VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
"When I was younger I was scared of almost any new experience...but since I've been mugged, kicked out of the house, lived homeless, been beaten up, won some street fights and become fully self-employed there's really nothing that scares me anymore",afraid,"Customer :Hopefully, it'll be smooth sailing from no onwards.
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly describes being “scared” during the earlier period, and although they later became fearless, temporal anchoring requires judging the emotion felt at that past time—high displeasure, high arousal, and low dominance.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
"When I was younger I was scared of almost any new experience...but since I've been mugged, kicked out of the house, lived homeless, been beaten up, won some street fights and become fully self-employed there's really nothing that scares me anymore",afraid,"Customer :Yup and I'm only 26 :)
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly describes being ""scared"" of new experiences when younger, so the target emotion is anchored to that past fear rather than the current reflection. This involves high displeasure, high arousal, and low control/vulnerability.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
