Situation,emotion,empathetic_dialogues,baseline_prediction,baseline_raw_output,theory_prediction,theory_raw_output,theory_estimated_vec,theory_true_vad_error,baseline_correct,theory_correct
I think a mouse is in my kitchen again.,afraid,"Customer :Really? Why? They're so small.
Agent :",afraid,afraid,angry,"REASONING: The recurring mouse is a frustrating, irritating nuisance rather than a life-threatening danger, producing negative valence, moderate arousal, and a sense that the speaker can handle or complain about the problem.
VAD_Estimate: [V: -0.55, A: +0.50, D: +0.20]
EMOTION: angry",[-0.55  0.5   0.2 ],0.6442049363362563,True,False
I hit my head on the door corner and it left me with a wound. I feel it will scar,afraid,"Customer :That's terrible! Is it a festering wound that will turn you into a zombie?
Agent :",afraid,afraid,sad,"REASONING: The accidental injury and the thought of a lasting scar create unpleasantness and a passive, resigned sense of regret. There is no active blame or immediate threat, so the feeling aligns more with sadness than anger or fear.  
VAD_Estimate: [V: -0.55, A: -0.20, D: -0.35]  
EMOTION: sad",[-0.55 -0.2  -0.35],0.8090117428072352,True,False
I keep hearing things in my kitchen. I think the mouse is back.,afraid,"Customer :going to have to do something...call somebody to help you.
Agent :",afraid,afraid,angry,"REASONING: The mouse is a recurring nuisance, not a life-threatening danger, and the tone suggests irritation/frustration rather than fear or sadness. This is a mildly negative, moderately arousing, slightly assertive reaction.
VAD_Estimate: [V: -0.45, A: +0.50, D: +0.15]
EMOTION: angry",[-0.45  0.5   0.15],0.618465843842649,True,False
I really do no like worms.,afraid,"Customer :Worms? yuck!
Agent :",afraid,afraid,angry,"REASONING: The statement conveys a clear negative reaction of dislike/irritation toward a specific object, with “really” adding intensity and an assertive tone rather than helplessness or vulnerability. This best matches anger, not fear or sadness.  
VAD_Estimate: [V: -0.60, A: +0.50, D: +0.20]  
EMOTION: angry",[-0.6  0.5  0.2],0.6391400472509918,True,False
I am old.  I am seperated from my wife.  I live far from my children.  For pragmatoic reasons I am the one that can file for divorce.  I do not want to die alone.,afraid,"Customer :Thinking like that seems stressful
Agent :",afraid,afraid,sad,"REASONING: The situation expresses loneliness, isolation, and resignation about aging and separation, with a passive, melancholy tone rather than high-energy anger or immediate fear. The affect is clearly unpleasant, low-arousal, and marked by low control/vulnerability, matching sadness.

VAD_Estimate: [V: -0.70, A: -0.30, D: -0.40]
EMOTION: sad",[-0.7 -0.3 -0.4],0.9024965373894793,True,False
I keep hearing things in my kitchen. I think the mouse is back.,afraid,"Customer :I'm too afraid to go in there. Luckily I have a door to the kitchen. Otherwise I'd just leave the apartment.
Agent :",afraid,afraid,angry,"REASONING: The situation is unpleasant but not devastating; the repeated sounds and the return of a mouse are a frustrating, non-life-threatening nuisance attributed to a specific cause. This is better captured as irritation/anger than as helpless fear, with moderate negative valence, moderate arousal, and slight assertive control in complaint.
VAD_Estimate: [V: -0.55, A: +0.55, D: +0.25]
EMOTION: angry",[-0.55  0.55  0.25],0.6877499545619759,True,False
I am old.  I am seperated from my wife.  I live far from my children.  For pragmatoic reasons I am the one that can file for divorce.  I do not want to die alone.,afraid,"Customer :I am old and in good health, but death is around the corner.
Agent :",afraid,afraid,sad,"REASONING: The situation reflects isolation, loss, and resignation about aging and dying alone, with low energy and a sense of helplessness rather than active anger or panic.
VAD_Estimate: [V: -0.65, A: -0.30, D: -0.40]
EMOTION: sad",[-0.65 -0.3  -0.4 ],0.9005553841935541,True,False
i get this situation in midnight,afraid,"Customer :no real 
Agent :",afraid,afraid,sad,"REASONING: The text is ambiguous, but the midnight setting and passive phrasing suggest a low-energy, unpleasant late-night realization or rumination rather than active anger or panic. This fits a dejected, low-control sad state.

VAD_Estimate: [V: -0.45, A: -0.30, D: -0.40]
EMOTION: sad",[-0.45 -0.3  -0.4 ],0.9203260291874831,True,False
I was waiting in front of a store one day when a man approached me and whispered something scary in my ear. I was not pleased.,afraid,"Customer :oh was he trying to be funny, or was he just creepy?
Agent :",afraid,afraid,angry,"REASONING: The event is negative and intrusive; the explicit “not pleased” signals irritation and blame toward the man rather than helpless fear. This points to high displeasure, elevated arousal, and some assertive control.
VAD_Estimate: [V: -0.52, A: +0.58, D: +0.22]
EMOTION: angry",[-0.52  0.58  0.22],0.6612866246946176,True,False
I really do no like worms.,afraid,"Customer :I really do like worms.
Agent :",afraid,afraid,angry,"REASONING: The speaker expresses clear dislike and aversion toward worms, producing negative valence. The word “really” adds mild irritation and activation, and the statement is an assertive complaint rather than helpless fear or passive sadness, so it aligns closest with anger.
VAD_Estimate: [V: -0.45, A: +0.35, D: +0.15]
EMOTION: angry",[-0.45  0.35  0.15],0.6595452979136459,True,False
I don't think I'm going to do so well this semester.,afraid,"Customer :Oh, be positive, try your best.
Agent :",afraid,afraid,sad,"REASONING: The statement conveys pessimism and resignation about future academic performance, with low energy and a perceived lack of control over the outcome. This aligns more with sadness than with fear or anger.
VAD_Estimate: [V: -0.55, A: -0.30, D: -0.40]
EMOTION: sad",[-0.55 -0.3  -0.4 ],0.9049861877399012,True,False
there have been many instances of attempted abduction in my area. i hate when my wife and son are out without me,afraid,"Customer :yeah tell me about it, bunch of creeps around here
Agent :",afraid,afraid,angry,"REASONING: The speaker explicitly says ""hate,"" which signals strong displeasure and irritation/anger about the situation. Even though the context involves danger, the explicit emotion word takes precedence and aligns most closely with anger.
VAD_Estimate: [V: -0.55, A: +0.60, D: +0.25]
EMOTION: angry",[-0.55  0.6   0.25],0.6859300255857006,True,False
the braves are really good. i just dont know if we have the pitching to make a run,afraid,"Customer :the braves are really good, i just dont know if we have the pitching to make a run
Agent :",afraid,afraid,sad,"REASONING: The speaker expresses doubt and concern about the team’s chances, creating a negative, uncertain tone rather than excitement or anger. This feels like low-energy worry/resignation, with little sense of control over the outcome.

VAD_Estimate: [V: -0.35, A: -0.20, D: -0.30]
EMOTION: sad",[-0.35 -0.2  -0.3 ],0.8608135686662939,True,False
I am old.  I am seperated from my wife.  I live far from my children.  For pragmatoic reasons I am the one that can file for divorce.  I do not want to die alone.,afraid,"Customer :You shouldn't think about death! Take each day as it comes
Agent :",afraid,afraid,sad,"REASONING: The situation expresses loneliness, isolation, and resignation about aging and family separation, with a passive longing not to die alone. This is low-energy sorrow and helplessness rather than high-arousal fear or irritation.
VAD_Estimate: [V: -0.65, A: -0.35, D: -0.45]
EMOTION: sad",[-0.65 -0.35 -0.45],0.9502631214563679,True,False
My car started to make loud noises coming out of engine. It happens while accelerating,afraid,"Customer :Recently, i can hear loud noises coming out of my car's engine. It only happens when I accelerate
Agent :",afraid,afraid,angry,"REASONING: The car issue is unpleasant and frustrating, creating irritation rather than helplessness or life-threatening fear. The mechanical problem is likely annoying and prompts active complaint or problem-solving, indicating moderate arousal and control, closest to anger.
VAD_Estimate: [V: -0.55, A: +0.50, D: +0.20]
EMOTION: angry",[-0.55  0.5   0.2 ],0.6442049363362563,True,False
I think a mouse is in my kitchen again.,afraid,"Customer :Oh no! Have you put traps down?
Agent :",afraid,afraid,angry,"REASONING: The situation describes a recurring nuisance, which triggers irritation and frustration rather than genuine helplessness or life-threatening fear. The mouse is a specific annoyance the speaker can address, so anger fits best with negative valence, moderate arousal, and some sense of control.
VAD_Estimate: [V: -0.50, A: +0.45, D: +0.20]
EMOTION: angry",[-0.5   0.45  0.2 ],0.6625707509390978,True,False
I think a mouse is in my kitchen again.,afraid,"Customer :They are fast and sneaky and I think one is in my kitchen
Agent :",afraid,afraid,angry,"REASONING: The situation describes an unwanted recurring nuisance, likely causing irritation and annoyance rather than intense fear or sadness. The negative event is not life-threatening, and the speaker seems frustrated with the mouse’s presence.
VAD_Estimate: [V: -0.50, A: +0.40, D: +0.10]
EMOTION: angry",[-0.5  0.4  0.1],0.5835237784358064,True,False
"I have to go rescue a dog from a violent household. This place has a bad history and the cops are always there. This might not end well, but I'll work for it to be fine for the dog's sake.",afraid,"Customer :What type of dog is it?
Agent :",afraid,afraid,angry,"REASONING: The situation is dangerous and unjust, with clear negative circumstances and high tension, producing negative valence and high arousal. The speaker is actively determined to intervene for the dog’s sake, showing assertive control rather than helplessness, so the closest match is anger.
VAD_Estimate: [V: -0.55, A: +0.60, D: +0.30]
EMOTION: angry",[-0.55  0.6   0.3 ],0.7355270219373317,True,False
I keep hearing things in my kitchen. I think the mouse is back.,afraid,"Customer :I think there is a mouse in my kitchen. I keep hearing squeaking noises at night.
Agent :",afraid,afraid,angry,"REASONING: The speaker is annoyed and frustrated by a recurring pest in the kitchen, not fearful or sad; this is active irritation with a sense of wanting to deal with the problem.
VAD_Estimate: [V: -0.45, A: +0.40, D: +0.20]
EMOTION: angry",[-0.45  0.4   0.2 ],0.687749954561976,True,False
I think a mouse is in my kitchen again.,afraid,"Customer :I am so scared of mice.
Agent :",afraid,afraid,angry,"REASONING: The speaker is expressing annoyance and frustration over a recurring, unpleasant situation rather than helplessness or panic. Valence is negative, arousal is moderate from irritation, and dominance is slightly assertive because the speaker is complaining about the problem.  
VAD_Estimate: [V: -0.55, A: +0.45, D: +0.20]  
EMOTION: angry",[-0.55  0.45  0.2 ],0.653834841531101,True,False
I hate wasps so much. They always seem to get into my apartment somehow and I turned into a little girl!,afraid,"Customer :I've been looking into bug sprays and bug repellants but nothing has changed. I think it's time to call the exterminator!
Agent :",afraid,afraid,angry,"REASONING: The speaker explicitly expresses hatred toward wasps, which signals strong displeasure and irritation rather than a neutral or positive state. The “little girl” comment suggests some helplessness, but the explicit hate and active aversion anchor the emotion as anger.
VAD_Estimate: [V: -0.60, A: +0.60, D: +0.20]
EMOTION: angry",[-0.6  0.6  0.2],0.6312685640834652,True,False
I hated waiting each day to see if a college acceptance letter came in,afraid,"Customer :I was terrified I was not going to get into college, every day I waited for the mail to see if a letter came in
Agent :",afraid,afraid,angry,"REASONING: The explicit word ""hated"" signals active frustration and irritation with the waiting, giving a negative valence, moderate-to-high arousal, and an assertive, annoyed tone rather than helplessness.
VAD_Estimate: [V: -0.62, A: +0.52, D: +0.20]
EMOTION: angry",[-0.62  0.52  0.2 ],0.6353739056650028,True,False
I hated waiting each day to see if a college acceptance letter came in,afraid,"Customer :Yes but it took about 10 rejection letters for the acceptance to come through
Agent :",afraid,afraid,angry,"REASONING: The speaker explicitly says they “hated” the daily waiting, indicating active irritation and frustration rather than passive sadness or raw fear. The situation is unpleasant and agitating, with some assertive annoyance despite lack of control over the outcome.
VAD_Estimate: [V: -0.55, A: +0.60, D: +0.10]
EMOTION: angry",[-0.55  0.6   0.1 ],0.5375872022286245,True,False
i get this situation in midnight,afraid,"Customer :Oh that really sucks, hopefully you get that dealt with.
Agent :",afraid,afraid,sad,"REASONING: No explicit emotion word is present. The phrase is vague, but “midnight” gives a slightly negative, passive, and low-energy tone, with no clear threat, anger target, or positive achievement, so the closest benchmark is sadness.
VAD_Estimate: [V: -0.25, A: -0.20, D: -0.25]
EMOTION: sad",[-0.25 -0.2  -0.25],0.9080198235721509,True,False
Our home was broken in to 2 months after we purchased it.,afraid,"Customer :Yes I have actually. It was scary.
Agent :",afraid,afraid,angry,"REASONING: The break-in is a clear violation of a newly purchased home, evoking frustration and blame toward the intruder rather than ambiguous or life-threatening fear. This is high displeasure with assertive irritation.

VAD_Estimate: [V: -0.65, A: +0.60, D: +0.25]

EMOTION: angry",[-0.65  0.6   0.25],0.6800735254367721,True,False
I was driving down the highway and a semi-truck doesn't even look and just merges into my lane.  I had to swerve over and luckily there wasn't a car there.,angry,"Customer :No, luckily I swerved into the outer-most lane and there wasn't a car there. Thank God!
Agent :",angry,angry,afraid,"REASONING: The sudden, life-threatening near-collision forces the speaker into an immediate survival response of panic and vulnerability, rather than reflective anger. Valence is strongly negative, arousal is high, and dominance is low because the speaker had little control over the truck’s actions.
VAD_Estimate: [V: -0.70, A: +0.65, D: -0.45]
EMOTION: afraid",[-0.7   0.65 -0.45],0.7278049189171505,True,False
when my brother got jumped,angry,"Customer :I remember when we were younger , and my brother came home one of his eyes was swollen shut, and he had a giant gash under his other, he had gotten jumped i almost cried in just anger 
Agent :",angry,angry,afraid,"REASONING: The speaker describes a violent attack on their brother, which is a serious, uncontrollable threat that would trigger alarm and helplessness rather than confident anger. Valence is strongly negative, arousal is high, and dominance is low due to a lack of control over the dangerous situation.
VAD_Estimate: [V: -0.70, A: +0.65, D: -0.45]
EMOTION: afraid",[-0.7   0.65 -0.45],0.7278049189171505,True,False
My boss embarrassed me infront of the investors.,angry,"Customer :He was making of my hairstyle for no reason. i am angry with him!
Agent :",angry,angry,afraid,"REASONING: The explicit emotion is “embarrassed,” which involves negative self-focused feelings, moderate-to-high arousal from social exposure, and low dominance from feeling vulnerable and judged. This is closest to the afraid prototype: unpleasant, activated, and low in control.
VAD_Estimate: [V: -0.55, A: +0.35, D: -0.45]
EMOTION: afraid",[-0.55  0.35 -0.45],0.7410802925459561,True,False
Why won't I get made at you?,angry,"Customer :Because I have spent 40000USD so far on your tuition and living expenses
Agent :",angry,angry,joyful,"REASONING: The speaker is expressing that they cannot become angry with the other person, implying fondness or affection rather than hostility. This creates a warm, positive, moderately engaged emotional state, closest to joy.
VAD_Estimate: [V: +0.60, A: +0.35, D: +0.25]
EMOTION: joyful",[0.6  0.35 0.25],1.1356495938448619,True,False
My boss embarrassed me infront of the investors.,angry,"Customer :My boss embarrassed me infront of the investors the other day.
Agent :",angry,angry,afraid,"REASONING: The situation is negative and arousing, but the speaker’s core experience is public exposure, humiliation, and low control rather than assertive anger or low-energy sadness. This vulnerability and lack of dominance align most closely with the fear prototype.
VAD_Estimate: [V: -0.65, A: +0.55, D: -0.50]
EMOTION: afraid",[-0.65  0.55 -0.5 ],0.7640026177965623,True,False
My brother was in a drunken mood.,angry,"Customer :That's not acceptable even if he is drunk.
Agent :",angry,angry,sad,"REASONING: The speaker observes their brother’s drunken state without an explicit emotion word. This seems to evoke passive concern or disappointment rather than active anger or fear, so valence is moderately negative, arousal is low, and dominance is low.
VAD_Estimate: [V: -0.60, A: -0.30, D: -0.35]
EMOTION: sad",[-0.6  -0.3  -0.35],1.0771258050942794,True,False
MY son is refusing to go to sleep. I had a long day and am really tired,angry,"Customer :I had a rough day today and now my son refuses to go to bed
Agent :",angry,angry,sad,"REASONING: The speaker is exhausted and faced with a frustrating bedtime conflict, but the dominant feeling is low-energy fatigue and helplessness rather than assertive anger. This aligns with negative valence, low arousal, and low dominance.
VAD_Estimate: [V: -0.55, A: -0.30, D: -0.40]
EMOTION: sad",[-0.55 -0.3  -0.4 ],1.1028145809699834,True,False
i was chatting with my dad and the call dropped on us,angry,"Customer :Did you call him right back?
Agent :",angry,angry,sad,"REASONING: The call dropping is a mildly unpleasant, low-energy interruption that the speaker cannot control, leading to disappointment or resignation rather than active anger or panic.  
VAD_Estimate: [V: -0.55, A: -0.10, D: -0.35]  
EMOTION: sad",[-0.55 -0.1  -0.35],0.9152595260361948,True,False
I had a bad encounter of someone with horrible road rage.,angry,"Customer :That is so scary, I am glad that you are okay! People are so crazy!!!
Agent :",angry,angry,afraid,"REASONING: The situation describes a threatening encounter with an aggressive driver, which likely triggered alarm and vulnerability rather than anger or enjoyment. Valence is strongly negative, arousal is high due to danger, and dominance is low because the speaker had little control over the other person’s behavior.
VAD_Estimate: [V: -0.70, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.7   0.6  -0.45],0.7253964433328853,True,False
when my brother got jumped,angry,"Customer :ah no thats horrible i hate to hear that
Agent :",angry,angry,afraid,"REASONING: The event is a sudden, violent attack on a family member, producing intense distress and helplessness rather than a positive or empowered response. The situation likely triggers fear for the brother’s safety with low dominance because the speaker cannot control the attack.
VAD_Estimate: [V: -0.70, A: +0.65, D: -0.45]
EMOTION: afraid",[-0.7   0.65 -0.45],0.7278049189171505,True,False
"Before my birthday, my boyfriend tried to get me to pick menu items that everyone could eat--including him. This meant I picked place that served only chicken because it's the only meat my boyfriend can have due to his digestive/health issue. Of course, I got anxious and upset because the place I picked was serving healthy food--my preference--but the serving sizes were missing and I couldn't tell what ingredients were in what; this lead to us arguing.",angry,"Customer :My boyfriend and I got into an argument a few days before my birthday party about catering options.
Agent :",angry,angry,afraid,"REASONING: The speaker explicitly says she felt anxious, and the situation involves uncertainty and lack of control (unclear ingredients, missing serving sizes) plus interpersonal conflict, which fits high negative arousal and low dominance/vulnerability rather than anger or joy.

VAD_Estimate: [V: -0.65, A: +0.58, D: -0.42]
EMOTION: afraid",[-0.65  0.58 -0.42],0.6845436436049932,True,False
"Before my birthday, my boyfriend tried to get me to pick menu items that everyone could eat--including him. This meant I picked place that served only chicken because it's the only meat my boyfriend can have due to his digestive/health issue. Of course, I got anxious and upset because the place I picked was serving healthy food--my preference--but the serving sizes were missing and I couldn't tell what ingredients were in what; this lead to us arguing.",angry,"Customer :Ah, I see. Well I hope it at least got worked out for you guys
Agent :",angry,angry,afraid,"REASONING: The speaker explicitly says she felt “anxious and upset” during the event, indicating negative valence, high arousal, and a sense of low control/vulnerability. Although an argument occurred, the explicit anxiety anchors the emotion to fear rather than anger or sadness.

VAD_Estimate: [V: -0.62, A: +0.58, D: -0.40]

EMOTION: afraid",[-0.62  0.58 -0.4 ],0.6593178292750773,True,False
it makes me very unhappy when i let someone out in traffic and they dont acknowledge me,angry,"Customer :it makes me angry when i let someone out in traffic without being acknowleded
Agent :",angry,angry,sad,"REASONING: The explicit emotion word “unhappy” signals sadness/disappointment rather than anger; being unacknowledged after a kind act creates a deflated, unvalued feeling, with low arousal and low control.
VAD_Estimate: [V: -0.55, A: -0.15, D: -0.35]
EMOTION: sad",[-0.55 -0.15 -0.35],0.9535197952848173,True,False
I had a bad encounter of someone with horrible road rage.,angry,"Customer :Oh no, What happened?
Agent :",angry,angry,afraid,"REASONING: The encounter with another driver's aggressive road rage is a negative, unpredictable, and potentially threatening event. It creates high arousal and a sense of vulnerability or lack of control rather than assertive confrontation.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.40]
EMOTION: afraid",[-0.65  0.6  -0.4 ],0.664981202741852,True,False
I was waiting for a package and I watched the mailman drive by my house without delivering it.,angry,"Customer :Wow, did he forget your address?
Agent :",angry,angry,sad,"REASONING: The situation involves a disappointing outcome with no direct threat or clear target for confrontation, producing low-energy frustration and resignation. Valence is negative, arousal is low, and there is a sense of helplessness over the unmet expectation.
VAD_Estimate: [V: -0.50, A: -0.20, D: -0.30]
EMOTION: sad",[-0.5 -0.2 -0.3],0.9626525853079085,True,False
My boss embarrassed me infront of the investors.,angry,"Customer :Oh no! What happened?
Agent :",angry,angry,afraid,"REASONING: The boss’s public action triggered a negative, high-arousal state of vulnerability and exposedness, not assertive anger or low-energy sadness. The speaker felt socially threatened and helpless, aligning closest with fear.
VAD_Estimate: [V: -0.65, A: +0.55, D: -0.45]
EMOTION: afraid",[-0.65  0.55 -0.45],0.714982517268779,True,False
My mother got scammed out of hundreds of dollars.  It was some internet phishing thing.  She had no recourse.,angry,"Customer :It was some internet phishing thing.  She had zero recourse.  I guess it's actually a little lucky she didn't lose more.
Agent :",angry,angry,sad,"REASONING: The scam is a clearly negative event, but the phrase “She had no recourse” emphasizes resignation and helplessness rather than active frustration or confrontation. This low-energy, passive negative state aligns more with sadness than with anger.
VAD_Estimate: [V: -0.65, A: -0.25, D: -0.40]
EMOTION: sad",[-0.65 -0.25 -0.4 ],1.0713076122197582,True,False
My dishwasher leaked and we had to have our whole kitchen and living redone due to the damages.,angry,"Customer :My dishwasher leaked and it damaged the floors and kitchen cupboards.
Agent :",angry,angry,sad,"REASONING: The situation is clearly unpleasant due to property damage and forced renovation, but it is described in a resigned, matter-of-fact way without active blame, confrontation, or high energy. This points to passive frustration/dejection, with low control over the situation.
VAD_Estimate: [V: -0.55, A: -0.20, D: -0.30]
EMOTION: sad",[-0.55 -0.2  -0.3 ],0.963431367560762,True,False
"I told my mom that I didin't want to be in compsci anymore, because I was really miserable. She said that I should do what makes me happy.",joyful,"Customer :Thanks. My mom is usually very strict, and I thought she would be really upset.
Agent :",joyful,joyful,sad,"REASONING: The speaker explicitly says they were “really miserable” about being in compsci, indicating strong displeasure, low energy, and a sense of dejection. Although the mother’s response is supportive, the emotion felt during the situation is primarily sadness/misery.
VAD_Estimate: [V: -0.70, A: -0.25, D: -0.40]
EMOTION: sad",[-0.7  -0.25 -0.4 ],1.7963852593472258,True,False
"I suffered from such terrible acne when I was younger that thankfully, I rarely ever have when I started college.",joyful,"Customer :That's really bad, but really good that your faced didn't turn out scarred for life. 
Agent :",joyful,joyful,sad,"REASONING: The speaker describes suffering from terrible acne in the past, which indicates unpleasantness, low energy, and feelings of powerlessness/self-consciousness; the grateful reflection about improvement is a later appraisal and should not override the emotion during the acne itself.  
VAD_Estimate: [V: -0.65, A: -0.30, D: -0.35]  
EMOTION: sad",[-0.65 -0.3  -0.35],1.756843760839307,True,False
"I told my mom that I didin't want to be in compsci anymore, because I was really miserable. She said that I should do what makes me happy.",joyful,"Customer :That's good advice.  If you're not happy doing something you should spend time thinking about what you'd really like to be doing.
Agent :",joyful,joyful,sad,"REASONING: The speaker explicitly describes feeling “miserable” in the situation, which signals persistent unhappiness and dejection. The conversation with mom is supportive, but the dominant emotion being expressed is sadness/low mood, not anger or fear.

VAD_Estimate: [V: -0.65, A: -0.25, D: -0.35]

EMOTION: sad",[-0.65 -0.25 -0.35],1.7352233285660956,True,False
"I suffered from such terrible acne when I was younger that thankfully, I rarely ever have when I started college.",joyful,"Customer :I suffered from such terrible acne when I was younger that thankfully, I rarely ever have when I started college.
Agent :",joyful,joyful,sad,"REASONING: The speaker describes suffering through terrible acne in their younger years, which was a distressing, self-conscious experience with no clear target for blame. The passive wording ""suffered"" points to low-energy dejection rather than anger or fear.
VAD_Estimate: [V: -0.60, A: -0.25, D: -0.35]
EMOTION: sad",[-0.6  -0.25 -0.35],1.694845125667829,True,False
"I suffered from such terrible acne when I was younger that thankfully, I rarely ever have when I started college.",joyful,"Customer :Well, I have some scars but at least I don't have acne anymore.
Agent :",joyful,joyful,sad,"REASONING: The speaker describes suffering from terrible acne when younger, which was an unpleasant and distressing experience with little control over the condition. The later relief is a reflection, not the emotion during the acne itself, so the dominant felt emotion is sadness rather than anger, fear, or joy.
VAD_Estimate: [V: -0.60, A: -0.25, D: -0.35]
EMOTION: sad",[-0.6  -0.25 -0.35],1.694845125667829,True,False
I was going to visit my grandmother today!,joyful,"Customer :Thank you so much, My grandmother always has fun stuff to do at her house!
Agent :",joyful,joyful,sad,"REASONING: The statement implies a plan to visit the grandmother was interrupted or did not happen, producing disappointment and longing rather than active frustration or fear. This is a passive, sorrowful response with low energy and reduced sense of control.
VAD_Estimate: [V: -0.60, A: -0.30, D: -0.35]
EMOTION: sad",[-0.6  -0.3  -0.35],1.71697408250678,True,False
I used to be mad when girls wouldn't text me back....but now I'm more happy being unattached and busy making money and as a result they're the ones chasing me now,joyful,"Customer :I used to hate it when girls wouldn't text me back.  Now that I'm focused on my job and networking I put little to zero effort in meeting girls...and as a result they're the ones checkin up on me every night lmao
Agent :",joyful,joyful,angry,"REASONING: The speaker explicitly states they ""used to be mad,"" which is a direct emotion label for the past situation. Even though they now feel happy, temporal anchoring requires judging the emotion felt during the described event, which is anger.
VAD_Estimate: [V: -0.51, A: +0.59, D: +0.25]
EMOTION: angry",[-0.51  0.59  0.25],1.2786711852544421,True,False
