Situation,emotion,empathetic_dialogues,baseline_prediction,baseline_raw_output,theory_prediction,theory_raw_output,theory_estimated_vec,theory_true_vad_error,baseline_correct,theory_correct
"When I was younger, I went on a trip to my cousins ski home in New York. I am from Florida and didn't know any better and stuck my tongue to a frozen pole when one of my cousins dared me to. I dont recommend it.",afraid,"Customer :Haha well fortunately my cousin was like ""Oh [BLEEP] I didnt think you were actually going to do it. [BLEEP]"" He was like, dont move not even a millicentimeter, Ill be right back!! And came back with a warm sponge and warm water! 
Agent :",sad,sad,afraid,"REASONING: During the event, the speaker was physically stuck to a frozen pole, causing sudden pain and helplessness rather than anger or sadness. This is an immediate, uncomfortable threat with low control, fitting high-arousal distress and vulnerability.
VAD_Estimate: [V: -0.70, A: +0.65, D: -0.50]
EMOTION: afraid",[-0.7   0.65 -0.5 ],0.10488088481701516,False,True
"I used to be afraid of the dark but now I am not so much, I had a nightlight for a long time",afraid,"Customer :I suppose so, it is the fact that we do not know what is in it
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly describes a past state of being afraid of the dark, and temporal anchoring requires judging the emotion felt during that past experience rather than the current relief. That experience involved high displeasure, high arousal, and low control/vulnerability.

VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
Riding coasters this weekend,afraid,"Customer :Why? What happened?
Agent :",joyful,joyful,afraid,"REASONING: The situation mentions an inherently intimidating activity—roller coasters—without any positive words like “excited” or “love,” so the dominant feeling is anxiety/dread rather than thrill. This points to high displeasure, high arousal, and low control, consistent with fear.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
I was so scared but I went skydiving! It was a great experience and I'm so glad I was able to overcome my fears.,afraid,"Customer :I'm deathly afraid of heights! I'm so glad I was able to overcome my fear because it was a great experience!
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly states they were scared during the skydiving event, so that is the emotion experienced at the time, even though they later felt proud/positive about overcoming it. During the event, this was high displeasure, high arousal, and low control/vulnerability, matching fear.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.65  0.6  -0.45],0.022360679774997918,False,True
"When I was younger I was scared of almost any new experience...but since I've been mugged, kicked out of the house, lived homeless, been beaten up, won some street fights and become fully self-employed there's really nothing that scares me anymore",afraid,"Customer :As a sheltered teenager I used to be scared of almost any new experience...but since I've been mugged, kicked out of the house, lived homeless, been beaten up, won some street fights, sparred state champions in the ring and become fully self-employed there's really nothing that scares me anymore
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly describes their past self as “scared,” which anchors the emotion to fear despite later reflecting on becoming fearless. During that described younger period, the experience was unpleasant, activating, and marked by vulnerability/helplessness.

VAD_Estimate: [V: -0.64, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.64  0.6  -0.45],0.020000000000000018,False,True
Roller coasters next weekend,afraid,"Customer :Remember safety is the first priority of amusement parks, everything will be just fine!
Agent :",joyful,joyful,afraid,"REASONING: The statement about roller coasters next weekend lacks positive words like ""excited"" or ""love,"" and focuses on an inherently intimidating upcoming event, suggesting anxiety/dread rather than joy. This points to negative valence, high arousal, and low control.
VAD_Estimate: [V: -0.60, A: +0.60, D: -0.40]
EMOTION: afraid",[-0.6  0.6 -0.4],0.05000000000000002,False,True
"I finally got over my fear of heights! But before that, I had never been so scared in my life. I went sky-diving.",afraid,"Customer :I was so scared! I almost fainted twice, and I was so pale and rigid! Looking back it was kind of funny. But I am glad I overcame the fear.
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly says they were “scared” during the sky-diving event, and the temporal focus is on the past fear experienced at that moment, not the later relief of overcoming it. This matches high displeasure, high arousal, and low control/vulnerability.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
I lost the money pouch for the deposit at my job the other day.,afraid,"Customer :Oh no! That is one of my biggest fears!  What did you do?
Agent :",sad,sad,afraid,"REASONING: Losing an important money pouch at work is a negative, high-stakes event that triggers worry and anxiety about consequences; the speaker feels vulnerable and out of control, not energized toward confrontation.  
VAD_Estimate: [V: -0.55, A: +0.55, D: -0.35]  
EMOTION: afraid",[-0.55  0.55 -0.35],0.13038404810405294,False,True
when my hit her head,afraid,"Customer :Oh no! Is he/she okay? 
Agent :",sad,sad,afraid,"REASONING: The situation describes someone hitting her head, a sudden and potentially harmful event. The speaker likely feels alarmed and helpless, with negative valence, high arousal, and low control → fear.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.65  0.6  -0.45],0.022360679774997918,False,True
When my house burned down in the 8th grade,afraid,"Customer :I can't imagine my house on fire. That's I got home insurance!
Agent :",sad,sad,afraid,"REASONING: During the house fire, the event was sudden, dangerous, and uncontrollable, creating intense distress and a need to escape rather than a reflective sadness or anger. This maps to strongly negative valence, high arousal, and low dominance/control.
VAD_Estimate: [V: -0.75, A: +0.70, D: -0.45]
EMOTION: afraid",[-0.75  0.7  -0.45],0.15,False,True
My friend hasnt been feeling well lately.,afraid,"Customer :That's too bad. What seems to be wrong with him?
Agent :",sad,sad,afraid,"REASONING: The friend being unwell is a negative situation with uncertainty about their health, creating worry and concern rather than anger or joy. The speaker has little control over the outcome, with moderate tension and low dominance.
VAD_Estimate: [V: -0.55, A: +0.30, D: -0.35]
EMOTION: afraid",[-0.55  0.3  -0.35],0.3232645975048923,False,True
When my house burned down in the 8th grade,afraid,"Customer :It really hurts to think about it happening, my house burning.
Agent :",sad,sad,afraid,"REASONING: The event involves an uncontrollable, life-threatening disaster; during the fire, the speaker would likely feel intense fear and helplessness rather than anger or passive sadness.
VAD_Estimate: [V: -0.70, A: +0.65, D: -0.45]
EMOTION: afraid",[-0.7   0.65 -0.45],0.08062257748298549,False,True
When my house burned down in the 8th grade,afraid,"Customer :I hope you didn't lose too much.
Agent :",sad,sad,afraid,"REASONING: A house fire is an uncontrollable, life-threatening event that would trigger immediate fear and helplessness rather than anger or joy. High negative valence, high arousal, and low dominance align most closely with the afraid prototype.
VAD_Estimate: [V: -0.70, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.7   0.6  -0.45],0.06324555320336754,False,True
Roller coasters next weekend,afraid,"Customer :What's wrong?
Agent :",joyful,joyful,afraid,"REASONING: The situation references an upcoming roller coaster activity with no positive emotion words like “excited” or “love,” so the dominant response is anxiety/dread about an intimidating event. This aligns with high displeasure, high arousal, and low control/vulnerability.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
when my mother in law fell on ice,afraid,"Customer :Shes older so thats was it was so scary. She did end up injuring her hip. 
Agent :",joyful,joyful,afraid,"REASONING: A sudden fall on ice is an unexpected, potentially harmful event involving a loved one, triggering alarm, worry, and a sense of helplessness rather than anger or joy. This maps to negative valence, high arousal, and low dominance.
VAD_Estimate: [V: -0.65, A: +0.55, D: -0.35]
EMOTION: afraid",[-0.65  0.55 -0.35],0.09486832980505137,False,True
Riding coasters this weekend,afraid,"Customer :Good luck!
Agent :",joyful,joyful,afraid,"REASONING: The situation mentions riding coasters without any positive emotion words like ""excited"" or ""love."" Per Rule 5, this inherently risky/thrilling activity without positive framing suggests anxiety or dread, with high arousal and low perceived control.
VAD_Estimate: [V: -0.60, A: +0.55, D: -0.40]
EMOTION: afraid",[-0.6   0.55 -0.4 ],0.07071067811865471,False,True
when my hit her head,afraid,"Customer :My child hit their head really hard the other day, and caused the lip to split open. ugh 
Agent :",sad,sad,afraid,"REASONING: Witnessing someone hit her head is a sudden, potentially harmful event that triggers alarm and worry, with negative valence, high arousal, and a sense of helplessness over the outcome. This matches fear more than anger or sadness.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.40]
EMOTION: afraid",[-0.65  0.6  -0.4 ],0.03162277660168377,False,True
When my house burned down in junior high. I had to rescue my parents.,afraid,"Customer :It was a combustion of paint cans in my garage.
Agent :",sad,sad,afraid,"REASONING: The house fire is a sudden, life-threatening emergency, and having to rescue parents would involve intense fear and adrenaline rather than anger or enjoyment. Negative valence with high arousal and a sense of vulnerability despite taking action points most closely to fear.
VAD_Estimate: [V: -0.70, A: +0.65, D: -0.35]
EMOTION: afraid",[-0.7   0.65 -0.35],0.11180339887498948,False,True
I was at a scary maze and one of the people there actually scared me! It was super funny afterwords,afraid,"Customer :I was at a scary maze and one of the people there actually scared me! It was super funny afterwords
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly says they were “scared” during the event in the scary maze, which indicates fear at that moment; the “funny afterwards” is a later reflection and does not override the in-the-moment emotion. This aligns with high displeasure, high arousal, and low dominance/vulnerability.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
Roller coaster riding next week,afraid,"Customer :We're going to the amusement park!  I've never rode a coaster before!  Kinda scary~!
Agent :",joyful,joyful,afraid,"REASONING: The situation references an upcoming roller coaster ride with no positive excitement cues, so per the anticipation rule it reflects anxiety/dread rather than joy. This yields negative valence, high arousal, and low dominance/vulnerability.

VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
"When I was younger I was scared of almost any new experience...but since I've been mugged, kicked out of the house, lived homeless, been beaten up, won some street fights and become fully self-employed there's really nothing that scares me anymore",afraid,"Customer :Hopefully, it'll be smooth sailing from no onwards.
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly describes being “scared” during the earlier period, and although they later became fearless, temporal anchoring requires judging the emotion felt at that past time—high displeasure, high arousal, and low dominance.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
"When I was younger I was scared of almost any new experience...but since I've been mugged, kicked out of the house, lived homeless, been beaten up, won some street fights and become fully self-employed there's really nothing that scares me anymore",afraid,"Customer :Yup and I'm only 26 :)
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly describes being ""scared"" of new experiences when younger, so the target emotion is anchored to that past fear rather than the current reflection. This involves high displeasure, high arousal, and low control/vulnerability.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
"I used to be afraid of the dark but now I am not so much, I had a nightlight for a long time",afraid,"Customer : I used to be afraid of the dark but now I am not so much, I had a nightlight for a long time
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly says they “used to be afraid,” so the emotion during that past experience is fear. The VAD estimate matches the prototype for afraid: negative valence, high arousal, and vulnerable/low dominance.

VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
When my house burned down in the 8th grade,afraid,"Customer :I was too young to know about that, we're done for.
Agent :",sad,sad,afraid,"REASONING: The house burning is a sudden, dangerous, and uncontrollable threat, likely causing panic and vulnerability rather than anger or calm sadness; this is strongly negative, high arousal, and low dominance.
VAD_Estimate: [V: -0.80, A: +0.65, D: -0.45]
EMOTION: afraid",[-0.8   0.65 -0.45],0.16881943016134138,False,True
My friend hasnt been feeling well lately.,afraid,"Customer :His heart has been beating real fast lately.
Agent :",sad,sad,afraid,"REASONING: The situation is negative but ambiguous regarding the friend’s health, creating concern and worry rather than anger or joy. Arousal is moderate-to-high due to uncertainty, and dominance is low because the speaker cannot control the outcome, aligning closest with fear/anxiety.
VAD_Estimate: [V: -0.55, A: +0.45, D: -0.40]
EMOTION: afraid",[-0.55  0.45 -0.4 ],0.17748239349298842,False,True
"I used to be afraid of the dark but now I am not so much, I had a nightlight for a long time",afraid,"Customer :I guess I just grew up, realized there are no monsters
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly describes a past emotional state of being afraid of the dark, and temporal anchoring requires judging the emotion felt during that past experience, not the current relief or reflection. Fear of the dark involves high displeasure, heightened arousal, and a sense of vulnerability/helplessness.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
"When I was younger, I went on a trip to my cousins ski home in New York. I am from Florida and didn't know any better and stuck my tongue to a frozen pole when one of my cousins dared me to. I dont recommend it.",afraid,"Customer :Oh no, that classic prank! I bet that was painful, I've only seen it on movies.
Agent :",sad,sad,afraid,"REASONING: The speaker describes a childhood mishap where their tongue froze to a pole, causing immediate pain, shock, and helplessness. Valence is strongly negative, arousal is high from the alarm/pain, and dominance is low because the speaker is physically trapped and vulnerable, aligning with fear rather than anger or sadness.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.65  0.6  -0.45],0.022360679774997918,False,True
"Two years ago, i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately, i am live",afraid,"Customer :I felt afraid. Still i remember it
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly says “I felt afraid” while in the hospital, describing fear about survival during the event. This is a clear explicit emotion label, so the analysis must match high displeasure, high arousal, and vulnerable low control.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
"My friend's eyes keep hurting at night. She's been to the doctor, but they can't find anything wrong with her.",afraid,"Customer :She's just been to her doctor. I'll see if she can see a specialist.
Agent :",sad,sad,afraid,"REASONING: The situation involves an unresolved health problem with no clear cause or controllable solution, creating worry and uncertainty rather than anger or sadness. Valence is negative, arousal is moderately elevated due to concern, and dominance is low because the situation feels uncontrollable.
VAD_Estimate: [V: -0.55, A: +0.40, D: -0.40]
EMOTION: afraid",[-0.55  0.4  -0.4 ],0.2213594362117865,False,True
While working at a restaurant I was robbed,afraid,"Customer :No weapon that I could see they just grabbed the money and ran.
Agent :",angry,angry,afraid,"REASONING: Being robbed at work is a sudden, threatening event with potential danger, causing high distress and a strong sense of vulnerability rather than anger or sadness.
VAD_Estimate: [V: -0.70, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.7   0.6  -0.45],0.06324555320336754,False,True
My husband wants to go parasailing together when we go to Mexico next month.,afraid,"Customer :My husband wants to go parasailing together when we go to Mexico next month.
Agent :",joyful,joyful,afraid,"REASONING: The situation involves an inherently risky activity (parasailing) with no positive words like “excited” or “love,” so the speaker’s anticipated feeling is anxiety or dread rather than joy. This reflects negative valence, high arousal, and a low sense of control.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
When my house burned down in middle school. It was in the middle of the night.,afraid,"Customer :It was burned in a paint fire, tragic.
Agent :",sad,sad,afraid,"REASONING: A house fire in the middle of the night is an immediate, life-threatening, and uncontrollable danger, provoking panic and vulnerability rather than blame or grief at that moment. Valence is strongly negative, arousal is high, and dominance is very low.
VAD_Estimate: [V: -0.75, A: +0.65, D: -0.45]
EMOTION: afraid",[-0.75  0.65 -0.45],0.12247448713915891,False,True
"I used to be afraid of the dark but now I am not so much, I had a nightlight for a long time",afraid,"Customer : I used to be afraid of the dark but now I am not so much, I had a nightlight for a long time
Agent :",joyful,joyful,afraid,"REASONING: The explicit emotion word ""afraid"" describes the speaker's past feeling during the event, so the emotion is fear despite the current reflection. This aligns with high negative valence, high arousal, and low dominance.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
My friend hasnt been feeling well lately.,afraid,"Customer :My friend hasnt been feeling well lately.
Agent :",sad,sad,afraid,"REASONING: The speaker is concerned about their friend’s health, which is unpleasant and creates worry. Arousal is moderate because the concern is active, and dominance is low since the speaker cannot control the friend’s wellbeing.
VAD_Estimate: [V: -0.55, A: +0.45, D: -0.40]
EMOTION: afraid",[-0.55  0.45 -0.4 ],0.17748239349298842,False,True
I'm going to an amusement park tomorrow. I don,afraid,"Customer :Ive never been on any but I'll try it out
Agent :",sad,Sad,afraid,"REASONING: The incomplete phrase “I don't” suggests reluctance, worry, or dread about the amusement park trip rather than excitement. This points to unpleasant anticipation, moderate arousal, and a reduced sense of control.
VAD_Estimate: [V: -0.45, A: +0.35, D: -0.25]
EMOTION: afraid",[-0.45  0.35 -0.25],0.3619392214170772,False,True
I hit my head on the door corner and it left me with a wound. I feel it will scar,afraid,"Customer :ah no!! But i am afraid it will scar thats worse than being a zombie
Agent :",sad,sad,afraid,"REASONING: The event is physically unpleasant and creates worry about a lasting scar, so valence is clearly negative. The arousal is moderate because the speaker is anxious about the outcome, while dominance is low because the situation feels beyond their control and leaves them vulnerable.
VAD_Estimate: [V: -0.55, A: +0.50, D: -0.40]
EMOTION: afraid",[-0.55  0.5  -0.4 ],0.13784048752090217,False,True
"My car broke down yesterday and they say it might be the transmission. If so, I'd need a new car and that's hard to do right now",afraid,"Customer :My car broke down yesterday and the mechanics say it might be the transmission :(
Agent :",sad,sad,afraid,"REASONING: The speaker is facing an uncertain, costly problem with limited immediate options, creating clear displeasure, anxious arousal, and a sense of vulnerability or lack of control over the situation. This aligns with worry/fear rather than active anger or low-energy sadness.
VAD_Estimate: [V: -0.60, A: +0.55, D: -0.45]
EMOTION: afraid",[-0.6   0.55 -0.45],0.06708203932499367,False,True
Roller coasters next weekend,afraid,"Customer :Nothing.  I'm going to ride rollercoasters this weekend.  So scared of them.
Agent :",joyful,joyful,afraid,"REASONING: The situation mentions an upcoming roller coaster with no positive emotion words like ""excited"" or ""love,"" so without explicit positive framing, this reflects anticipatory anxiety or dread. This leads to negative valence, high arousal, and low dominance/control.
VAD_Estimate: [V: -0.55, A: +0.60, D: -0.40]
EMOTION: afraid",[-0.55  0.6  -0.4 ],0.09486832980505135,False,True
My stepmother just passed away and I am concerned about my dad,afraid,"Customer :He seams fine when I talk with him but I know he is not. H has had a problem with substance abuse in the past 
Agent :",sad,sad,afraid,"REASONING: The explicit word “concerned” signals worry and apprehension about the father’s well-being after the death, which is a fear-related state. Valence is negative, arousal is moderately high due to anxious concern, and dominance is low because the speaker cannot control the situation.

VAD_Estimate: [V: -0.55, A: +0.40, D: -0.35]
EMOTION: afraid",[-0.55  0.4  -0.35],0.233452350598575,False,True
Going coaster riding this weekend :/,afraid,"Customer :six flags.  I've never rode a coaster before!
Agent :",sad,sad,afraid,"REASONING: The text mentions roller coaster riding with a negative emoticon and no excitement or enjoyment, indicating apprehension and dread about an intimidating activity. This maps to high unpleasantness, high arousal, and low control.
VAD_Estimate: [V: -0.60, A: +0.55, D: -0.40]
EMOTION: afraid",[-0.6   0.55 -0.4 ],0.07071067811865471,False,True
Our home was broken in to 2 months after we purchased it.,afraid,"Customer :Our home was broken into 2 months after we purchased it. Luckily, we were not home at the time. 
Agent :",angry,angry,afraid,"REASONING: The break-in is a highly negative, invasive event that triggers alarm and a strong sense of vulnerability and loss of control over personal safety. There is no clear face-to-face confrontation or blame target, so the immediate feeling is closer to fear than anger.

VAD_Estimate: [V: -0.70, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.7   0.6  -0.45],0.06324555320336754,False,True
My crush keeps hanging out with a new guy classmate a lot lately.,afraid,"Customer :I am sure that makes you feel bad, have you talked to them about how you feel?
Agent :",sad,sad,afraid,"REASONING: This situation involves social uncertainty and potential romantic loss, producing negative feelings and anxious insecurity rather than clear anger or resignation. There is no explicit blame or confrontation, so the closest match is fear-like vulnerability with moderate-to-high arousal and low dominance.
VAD_Estimate: [V: -0.55, A: +0.45, D: -0.45]
EMOTION: afraid",[-0.55  0.45 -0.45],0.17606816861659005,False,True
Going coaster riding this weekend :/,afraid,"Customer :What other rides should you take?
Agent :",sad,sad,afraid,"REASONING: The person is heading to a roller coaster but shows reluctance with "": /"", and there are no positive excitement words like ""excited"" or ""love."" This signals anxiety and dread about an intimidating activity rather than joy or anger.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
Once I studied really hard for a physics quiz and then I tried to set an alarm to wake up for it. Instead I slept through it and thought I was gonna get a zero on the quiz.,afraid,"Customer :One of the scariest things that happened to me was when I slept through a physics quiz that I really needed to do well on.
Agent :",sad,sad,afraid,"REASONING: The speaker faces an imminent negative consequence (a zero on the quiz) through no controllable action now, triggering panic, dread, and helplessness rather than outward anger or sadness. This maps to high displeasure, high arousal, and low dominance.
VAD_Estimate: [V: -0.65, A: +0.55, D: -0.40]
EMOTION: afraid",[-0.65  0.55 -0.4 ],0.05916079783099609,False,True
"I used to be afraid of the dark but now I am not so much, I had a nightlight for a long time",afraid,"Customer :Was the nightlight in your room?
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly says they ""used to be afraid,"" so the emotion felt during that past experience is fear, not their current relief. High displeasure, high arousal, and low dominance/vulnerability match the prototype for afraid.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
I lost the money pouch for the deposit at my job the other day.,afraid,"Customer :I lost the money pouch for the deposit at my job the other day.
Agent :",sad,sad,afraid,"REASONING: Losing the deposit money at work is a negative, stressful event likely causing worry and anxiety about consequences. The speaker feels vulnerable and out of control because the mistake may lead to blame or punishment, aligning with high arousal and low dominance.
VAD_Estimate: [V: -0.65, A: +0.55, D: -0.45]
EMOTION: afraid",[-0.65  0.55 -0.45],0.05477225575051656,False,True
I was at a scary maze and one of the people there actually scared me! It was super funny afterwords,afraid,"Customer :I dont either, but I wanted to go with my friends
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly says they were “scared,” so the emotion felt during the event is fear, even though they found it funny afterward. This matches high negative arousal with low dominance/control.
VAD_Estimate: [V: -0.60, A: +0.65, D: -0.40]
EMOTION: afraid",[-0.6   0.65 -0.4 ],0.0707106781186548,False,True
Roller coaster riding next week,afraid,"Customer :oh it sounds fun. You should try it once. You will enjoy it. You will be scared for the first time, but you will be okay
Agent :",joyful,joyful,afraid,"REASONING: The situation describes an upcoming roller coaster ride with no positive words like “excited” or “love,” so the anticipation is interpreted as anxiety/dread. This produces negative valence, high arousal, and low perceived control.
VAD_Estimate: [V: -0.60, A: +0.55, D: -0.40]
EMOTION: afraid",[-0.6   0.55 -0.4 ],0.07071067811865471,False,True
I'm going to an amusement park tomorrow. I don,afraid,"Customer :That sounds like so much fun! I think you should. I love roller coasters!
Agent :",joyful,joyful,afraid,"REASONING: The speaker mentions going to an amusement park but the incomplete “I don…” suggests reluctance or dread rather than excitement. Without positive cues like “excited” or “love,” anticipation of this situation is anxiety-provoking, with low perceived control.
VAD_Estimate: [V: -0.45, A: +0.50, D: -0.40]
EMOTION: afraid",[-0.45  0.5  -0.4 ],0.21679483388678797,False,True
